SimulationTime 	positionLat 	positionLon 	positionAlt 	speed
30.0 	37.96998 	127.17721 	120.17941 	0.0
330.0 	37.97138 	127.17764 	143.83932 	0.6
630.0 	37.97278 	127.17808 	154.43579 	0.6
930.0 	37.97418 	127.17852 	121.24611 	0.6
1230.0 	37.97557 	127.17896 	128.52443 	0.6
1530.0 	37.97697 	127.17939 	137.20154 	0.6
1830.0 	37.97837 	127.17983 	161.22067 	0.6
2130.0 	37.97977 	127.18027 	103.49229 	0.6
2430.0 	37.9814 	127.18002 	115.67642 	0.6
2730.0 	37.98273 	127.17977 	108.29744 	0.6
3030.0 	37.98421 	127.17949 	92.99516 	0.6
3330.0 	37.98569 	127.17922 	79.1309 	0.6
3630.0 	37.98717 	127.17894 	82.14731 	0.6
3930.0 	37.98865 	127.17867 	84.94569 	0.6
4230.0 	37.99014 	127.1784 	89.0 	0.6
4530.0 	37.99162 	127.17812 	93.0 	0.6
4830.0 	37.9931 	127.17785 	96.75391 	0.6
5130.0 	37.99458 	127.17757 	102.0 	0.6
5430.0 	37.99606 	127.17831 	110.65828 	0.6
5730.0 	37.99754 	127.17702 	127.96207 	0.6
6030.0 	38.00006 	127.17656 	136.9113 	0.6
6330.0 	38.00214 	127.17617 	106.26308 	0.6
6630.0 	38.00347 	127.17592 	86.34734 	0.6
6930.0 	38.00347 	127.17592 	86.34734 	0.6
7230.0 	38.0051 	127.17559 	95.62904 	0.6
7530.0 	38.00614 	127.17532 	103.77655 	0.6
7830.0 	38.00806 	127.17488 	81.31227 	0.6
8130.0 	38.00969 	127.17477 	96.12041 	0.6
8430.0 	38.01088 	127.17455 	87.36508 	0.6
8730.0 	38.01236 	127.17428 	77.36837 	0.6
8970.0 	38.01354 	127.17413 	66.72075 	0.6
