SimulationTime(sec),Name,UUID,ForceIdentifier,EntitySymbol,PositionLat(deg),PositionLon(deg),PositionAlt(m),Orientation(deg),Speed(km/h),DamageState,Power,PowerDistribution,DetectedEntityID,DetectedEntityDistance(m),Echelon,MOS
30.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96896,127.17828,136.06094,334.75,0.0,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
60.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96879,127.17832,137.71571,146.96,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
90.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96861,127.17837,140.66040,146.03,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
120.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96844,127.17842,148.32632,144.93,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
150.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96826,127.17848,153.51581,143.62,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
180.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96809,127.17854,155.99686,142.00,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
210.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96793,127.17862,161.51921,139.92,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
240.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96777,127.17871,163.46869,137.13,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
270.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96762,127.17882,164.00000,133.08,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
300.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96750,127.17895,162.57768,126.41,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
330.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96743,127.17912,163.22908,112.57,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
360.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96747,127.17929,165.73692,71.09,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
390.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96761,127.17939,167.16301,7.28,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
420.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96777,127.17945,167.39471,349.75,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
450.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96791,127.17950,166.71155,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
480.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96805,127.17954,164.26587,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
510.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96819,127.17958,160.95148,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
540.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96833,127.17963,155.98285,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
570.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96847,127.17967,149.77548,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
600.000,B-1-1-Unit3,fd46298b-a4d0-4123-9c0a-5899cec16e92,1,SFG-UCI----D---,37.96861,127.17971,145.24771,347.44,0.7,NoDamage,100.00,[72;4;4;4;4;4;4;4],[],[],소대,보병
