SimulationTime(sec),UnitName,UUID,SubordinateID,ForceIdentifier,DamageState
30.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
60.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
90.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
120.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
150.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
180.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
210.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
240.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
270.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
300.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
330.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
360.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
390.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
420.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
450.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
480.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
510.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
540.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
570.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
600.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
630.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
660.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
690.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
720.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
750.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
780.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
810.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
840.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
870.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
900.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
930.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
960.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
990.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
1020.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
1050.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
1080.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
1110.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
1140.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
1170.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
1200.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
1230.000,B-1-1,f50ebfd9-f5ae-4db8-a33f-1ad813961148,[4;5;6;10],1,NoDamage
